iso_code,country,year ,gdp
AFG,Afghanistan,2016,64297426944
ALB,Albania,2016,34351540224
DZA,Algeria,2016,5.34E+11
ASM,American Samoa,2016,
AGO,Angola,2016,1.48E+11
ATG,Antigua and Barbuda,2016,
ARG,Argentina,2016,8.20E+11
ARM,Armenia,2016,27987372032
ABW,Aruba,2016,
AUS,Australia,2016,1.07E+12
AUT,Austria,2016,3.95E+11
AZE,Azerbaijan,2016,1.45E+11
BHS,Bahamas,2016,
BHR,Bahrain,2016,56079929344
BGD,Bangladesh,2016,5.33E+11
BRB,Barbados,2016,2956559872
BLR,Belarus,2016,1.80E+11
BEL,Belgium,2016,4.48E+11
BLZ,Belize,2016,
BEN,Benin,2016,23265005568
BMU,Bermuda,2016,
BTN,Bhutan,2016,
BOL,Bolivia,2016,67114459136
BIH,Bosnia and Herzegovina,2016,41870385152
BWA,Botswana,2016,32747714560
BRA,Brazil,2016,2.81E+12
VGB,British Virgin Islands,2016,
BRN,Brunei,2016,
BGR,Bulgaria,2016,1.28E+11
BFA,Burkina Faso,2016,30459793408
BDI,Burundi,2016,7680507904
KHM,Cambodia,2016,52640825344
CMR,Cameroon,2016,67720478720
CAN,Canada,2016,1.57E+12
CPV,Cape Verde,2016,3601136128
CYM,Cayman Islands,2016,
CAF,Central African Republic,2016,3408833024
TCD,Chad,2016,25979584512
CHL,Chile,2016,3.91E+11
CHN,China,2016,1.69E+13
COL,Colombia,2016,6.10E+11
COM,Comoros,2016,1361835008
COG,Congo,2016,20912119808
COK,Cook Islands,2016,
CRI,Costa Rica,2016,68237692928
CIV,Cote d'Ivoire,2016,86983360512
HRV,Croatia,2016,93290250240
CUB,Cuba,2016,
CYP,Cyprus,2016,26539999232
CZE,Czechia,2016,3.28E+11
,Czechoslovakia,2016,4.80E+11
COD,Democratic Republic of Congo,2016,67812974592
DNK,Denmark,2016,2.59E+11
DJI,Djibouti,2016,2874717952
DMA,Dominica,2016,723201984
DOM,Dominican Republic,2016,1.49E+11
ECU,Ecuador,2016,1.69E+11
EGY,Egypt,2016,1.11E+12
SLV,El Salvador,2016,51318595584
GNQ,Equatorial Guinea,2016,23897874432
ERI,Eritrea,2016,
EST,Estonia,2016,33684649984
SWZ,Eswatini,2016,11087090688
ETH,Ethiopia,2016,1.84E+11
FRO,Faeroe Islands,2016,
FJI,Fiji,2016,
FIN,Finland,2016,2.11E+11
FRA,France,2016,2.60E+12
GUF,French Guiana,2016,
PYF,French Polynesia,2016,
GAB,Gabon,2016,24926826496
GMB,Gambia,2016,3919500032
GEO,Georgia,2016,51618291712
DEU,Germany,2016,3.92E+12
GHA,Ghana,2016,1.00E+11
GIB,Gibraltar,2016,
GRC,Greece,2016,2.64E+11
GRL,Greenland,2016,
GRD,Grenada,2016,
GLP,Guadeloupe,2016,
GUM,Guam,2016,
GTM,Guatemala,2016,1.08E+11
GIN,Guinea,2016,20171124736
GNB,Guinea-Bissau,2016,2381686016
GUY,Guyana,2016,
HTI,Haiti,2016,17155095552
HND,Honduras,2016,39440453632
HKG,Hong Kong,2016,3.40E+11
HUN,Hungary,2016,2.36E+11
ISL,Iceland,2016,14398300160
IND,India,2016,7.56E+12
IDN,Indonesia,2016,2.68E+12
IRN,Iran,2016,1.25E+12
IRQ,Iraq,2016,5.44E+11
IRL,Ireland,2016,2.62E+11
ISR,Israel,2016,2.67E+11
ITA,Italy,2016,2.13E+12
JAM,Jamaica,2016,21316925440
JPN,Japan,2016,4.60E+12
JOR,Jordan,2016,88403697664
KAZ,Kazakhstan,2016,4.20E+11
KEN,Kenya,2016,1.50E+11
KIR,Kiribati,2016,
OWID_KOS,Kosovo,2016,
KWT,Kuwait,2016,2.83E+11
KGZ,Kyrgyzstan,2016,33957935104
LAO,Laos,2016,44388155392
LVA,Latvia,2016,45812883456
LBN,Lebanon,2016,79116550144
LSO,Lesotho,2016,5888294912
LBR,Liberia,2016,3496064000
LBY,Libya,2016,52964032512
LTU,Lithuania,2016,75063795712
LUX,Luxembourg,2016,40329289728
MAC,Macau,2016,
MDG,Madagascar,2016,31930009600
MWI,Malawi,2016,17973999616
MYS,Malaysia,2016,6.87E+11
MDV,Maldives,2016,
MLI,Mali,2016,25631920128
MLT,Malta,2016,12121667584
MTQ,Martinique,2016,
MRT,Mauritania,2016,12159839232
MUS,Mauritius,2016,25412495360
MEX,Mexico,2016,1.88E+12
MDA,Moldova,2016,20636477440
MNG,Mongolia,2016,33659254784
MNE,Montenegro,2016,11767379968
MSR,Montserrat,2016,
MAR,Morocco,2016,2.64E+11
MOZ,Mozambique,2016,32568367104
MMR,Myanmar,2016,3.39E+11
NAM,Namibia,2016,28601075712
NRU,Nauru,2016,
NPL,Nepal,2016,75081924608
NLD,Netherlands,2016,8.39E+11
ANT,Netherlands Antilles,2016,
NCL,New Caledonia,2016,
NZL,New Zealand,2016,1.59E+11
NIC,Nicaragua,2016,29071224832
NER,Niger,2016,16921362432
NGA,Nigeria,2016,9.90E+11
NIU,Niue,2016,
PRK,North Korea,2016,
MKD,North Macedonia,2016,29162700800
MNP,Northern Mariana Islands,2016,
NOR,Norway,2016,4.00E+11
OMN,Oman,2016,1.68E+11
PAK,Pakistan,2016,1.02E+12
PSE,Palestine,2016,
PAN,Panama,2016,79798288384
PNG,Papua New Guinea,2016,
PRY,Paraguay,2016,59056115712
PER,Peru,2016,3.55E+11
PHL,Philippines,2016,7.85E+11
POL,Poland,2016,1.00E+12
PRT,Portugal,2016,2.85E+11
PRI,Puerto Rico,2016,1.20E+11
QAT,Qatar,2016,3.00E+11
ROU,Romania,2016,4.09E+11
RUS,Russia,2016,3.32E+12
RWA,Rwanda,2016,20204304384
SHN,Saint Helena,2016,
KNA,Saint Kitts and Nevis,2016,
LCA,Saint Lucia,2016,1760867968
SPM,Saint Pierre and Miquelon,2016,
VCT,Saint Vincent and the Grenadines,2016,
WSM,Samoa,2016,
STP,Sao Tome and Principe,2016,720720000
SAU,Saudi Arabia,2016,1.50E+12
SEN,Senegal,2016,39668592640
SRB,Serbia,2016,1.22E+11
SYC,Seychelles,2016,2311608064
SLE,Sierra Leone,2016,6440330240
SGP,Singapore,2016,3.88E+11
SVK,Slovakia,2016,1.44E+11
SVN,Slovenia,2016,59161378816
SLB,Solomon Islands,2016,
SOM,Somalia,2016,
ZAF,South Africa,2016,6.48E+11
KOR,South Korea,2016,1.85E+12
SSD,South Sudan,2016,
ESP,Spain,2016,1.48E+12
LKA,Sri Lanka,2016,2.52E+11
SDN,Sudan,2016,1.70E+11
SUR,Suriname,2016,
SWE,Sweden,2016,4.40E+11
CHE,Switzerland,2016,5.25E+11
SYR,Syria,2016,65946779648
TWN,Taiwan,2016,9.85E+11
TJK,Tajikistan,2016,29521520640
TZA,Tanzania,2016,1.34E+11
THA,Thailand,2016,9.62E+11
TLS,Timor,2016,
TGO,Togo,2016,11751855104
TON,Tonga,2016,
TTO,Trinidad and Tobago,2016,35816759296
TUN,Tunisia,2016,1.18E+11
TUR,Turkey,2016,1.57E+12
TKM,Turkmenistan,2016,1.18E+11
TCA,Turks and Caicos Islands,2016,
UGA,Uganda,2016,77159874560
UKR,Ukraine,2016,4.29E+11
ARE,United Arab Emirates,2016,6.57E+11
GBR,United Kingdom,2016,2.58E+12
USA,United States,2016,1.72E+13
VIR,United States Virgin Islands,2016,
URY,Uruguay,2016,67208687616
UZB,Uzbekistan,2016,2.87E+11
VUT,Vanuatu,2016,
VEN,Venezuela,2016,3.96E+11
VNM,Vietnam,2016,5.75E+11
ESH,Western Sahara,2016,
OWID_WRL,World,2016,1.07E+14
YEM,Yemen,2016,62722076672
ZMB,Zambia,2016,57577410560
ZWE,Zimbabwe,2016,25151762432
